A1,Account,Advertising and Collaboration,Features,Limits,Payments,Refunds,Security,Troubleshooting
"Здравствуйте! Я заметил, что ваш сервис предоставляет возможность суммаризации текстов. Однако, интересует меня, можно ли также применять его для сжатия аудиозаписей или видеофайлов? Мне было бы очень удобно иметь такую функциональность.",0,0,0,0,0,0,0,0
Добрый день! Можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей?,0,0,0,0,0,0,0,0
"Привет! Я обнаружил, что при использовании вашей функции поиска, результаты отображаются в неправильном порядке. Нужно отсортировать их правильно.",0,0,0,0,0,0,0,0
"Добрый день, уже несколько раз пробовал сбросить пароль, но письма с временным паролем не приходят на мою почту. Что делать? Очень нужно войти в свой аккаунт.",0,0,0,0,0,0,0,0
"Здравствуйте, я случайно оформил подписку, не полностью понимая ее условия. Я хотел бы отменить ее и получить возврат средств.",0,0,0,0,0,0,0,0
"добрый день, я не доволен качеством вашего сервиса и хотел бы отказаться от подписки. как вернуть деньги?",0,0,0,0,0,0,0,0
"А что значат лимиты сервиса? Почему мне доступен только миллион символов? Или это миллион символов в месяц? Честно говоря, немного не понял.",0,0,0,0,0,0,0,0
"Здравствуйте, я хотел бы отказаться от подписки и получить возврат денег, так как услуга не соответствует моим ожиданиям.",0,0,0,0,0,0,0,0
"Добрый день, я оплатил подписку, но не могу войти в свой аккаунт. Пожалуйста, помогите решить эту проблему.",0,0,0,0,0,0,0,0
"решением проблемы могло бы быть копирование в ворд с сохранением изменненого текста, тогда хоть как то удобно, а так копирую текст в ворд и там правлю смотрю еще в браузер, вообщем взрыв мозга",0,0,0,0,0,0,0,0
Как я могу отписаться от автопродления подписки?,0,0,0,0,0,0,0,0
"Приветствую! Мне не удается изменить пароль в своем аккаунте. Каждый раз, когда пытаюсь сохранить новый пароль, появляется ошибка. Что происходит? Мне нужно обновить пароль по соображениям безопасности.",0,0,0,0,0,0,0,0
"здарова! я тут пользуюсь вашим сервисом, но у меня проблемка. каковы лимиты по символам? мне надо больше писать!",0,0,0,0,0,0,0,0
"Здравствуйте, сайт работает некорректно, некоторые функции не открываются. Прошу исправить проблему.",0,0,0,0,0,0,0,0
"Добрый день, я зарегистрировался на вашем сайте, но не получил письмо с подтверждением регистрации и временным паролем. Я не могу начать пользоваться сервисом. Что делать в такой ситуации?",0,0,0,0,0,0,0,0
"Здравствуйте, у меня возникла проблема с отображением текста на вашем сервисе. Некоторые символы исказились и выглядят неправильно. Пожалуйста, посмотрите, что происходит, и исправьте это.",0,0,0,0,0,0,0,0
Как отписаться от автопродления подписки?,0,0,0,0,0,0,0,0
"Привет! Я забыл свой пароль и пытался восстановить его через отправку на почту, но не получил ни одного письма. У меня есть срочная необходимость в доступе к своему аккаунту. Пожалуйста, исправьте эту проблему.",0,0,0,0,0,0,0,0
"здравствуйте! есть ли возможность оплатить сервис через банковское приложение, используя QR-код или номер счета?",0,0,0,0,0,0,0,0
"Привет, я изменил свое решение относительно подписки и хотел бы ее отменить. Как получить возврат денег?",0,0,0,0,0,0,0,0
"Здравствуйте, у меня возникла проблема с вашим сервисом, и я просто не понимаю, как вы могли такую хрень выпустить. Какой толк от подписки, если ничего не работает? Очень разочарован!",0,0,0,0,0,0,0,0
"Здравствуйте, я не осознавал, что подписка будет продлеваться автоматически. Могу ли я получить свои деньги назад?",0,0,0,0,0,0,0,0
"Приветствую! Я заметил, что в последнее время сервис работает очень медленно, страницы загружаются с большой задержкой. Пожалуйста, улучшите производительность.",0,0,0,0,0,0,0,0
"здравствуйте! скажите, сколько я могу отправить символов на суммаризацию? есть ли у вас API для этого?",0,0,0,0,0,0,0,0
"Хотелось бы попросить выйти со всех авторизированных устройств, тк забыла выйти не на своем компьютере. Чтобы другие люди не пользовались моей подпиской.",0,0,0,0,0,0,0,0
Когда уже можно будет пользоваться?,0,0,0,0,0,0,0,0
"Оплатила подписку, не заходит на аккаунт",0,0,0,0,0,0,0,0
"Привет, я случайно заблокировал свой аккаунт, пытаясь ввести неправильный пароль несколько раз. Не могли бы вы разблокировать его и отправить мне новый пароль? Извините за доставленные неудобства.",0,0,0,0,0,0,0,0
"Здравствуйте! Я хочу вам сообщить, что ваша система совершенно дебильная. Я делаю все по инструкции, но ничего не работает. Почему вы не можете создать нормальный сервис?",0,0,0,0,0,0,0,0
"Приветствую! Я недавно начал использовать ваш сервис и хотел бы узнать, есть ли у вас функция автоматического распознавания и извлечения ключевых фраз из текстовых документов? Мне это очень поможет в сокращении времени на анализ больших объемов информации.",0,0,0,0,0,0,0,0
"Здравствуйте, некоторые ссылки на вашем сайте не работают. Когда я нажимаю на них, происходит перенаправление на неправильную страницу. Необходимо исправить эту проблему.",0,0,0,0,0,0,0,0
"Здравствуйте! У меня есть опыт работы с размещением рекламы на YouTube, Instagram и ВКонтакте. Если вас интересует сотрудничество, я могу предоставить вам информацию о наших услугах.",0,0,0,0,0,0,0,0
"Здравствуйте. Мне нужно много текстов трансформировать, как это можно сделать, чтобы не по по дному?",0,0,0,0,0,0,0,0
привет! есть ли у вас возможность оплаты наличными при личной встрече или в офисе компании?,0,0,0,0,0,0,0,0
"Добрый день, Александра! Я хотел(а) бы выразить вам свою благодарность за ваш курс по копирайтингу. Он дал мне ценные знания и навыки. Я задумался(ась) о возможности личного сотрудничества с вами, чтобы продолжать развиваться и получать дополнительную поддержку. Буду рад(а) обсудить этот вопрос.",0,0,0,0,0,0,0,0
